name,H_mag,a,e,sin_i,n,g,s,LCE,My,family1
52954,14.86,2.2877274,0.1589624,0.0862225,104.027037,35.212467,-39.25467,26.25,2,0
52963,15.59,2.2358804,0.1652638,0.0533696,107.67057,34.087421,-37.74689,20.97,2,0
52965,15.7,2.2248378,0.1748793,0.084937,108.472071,33.149921,-37.626878,61.68,2,0
52966,15.91,2.2878737,0.0862436,0.1214612,104.017408,34.066138,-36.388566,6.19,2,4
52971,14.68,2.2844673,0.0960993,0.1308549,104.25027,33.641533,-36.415216,2.27,2,0
52972,15.0,2.2439366,0.1156188,0.1121477,107.088064,32.986258,-35.769702,14.31,2,0
52973,14.84,2.2909146,0.0903598,0.1162794,103.810275,34.341297,-36.657464,3.8,2,4
52974,15.27,2.2453993,0.1615295,0.0573193,106.982788,34.315608,-37.945367,26.18,2,0
52985,14.5,2.2456517,0.1146503,0.1083296,106.965393,33.12978,-35.867384,47.07,2,0
52987,14.88,2.2907036,0.1372909,0.0983188,103.824016,34.952222,-38.347198,29.48,2,2076
52988,15.48,2.2666856,0.1523928,0.1108496,105.479194,33.808408,-37.937631,20.36,2,0
52989,14.4,2.2358744,0.1369112,0.1023191,107.667667,32.912486,-36.328307,55.95,2,0
52991,15.36,2.2851668,0.0912018,0.1134922,104.202263,34.239877,-36.505373,3.0,2,4
52994,15.74,2.2553724,0.0774592,0.1193232,106.274497,33.08889,-35.125303,4.26,2,0
52995,13.91,2.1965002,0.1185864,0.1148303,110.576429,31.39824,-34.419082,10.09,2,0
52997,15.06,2.2948727,0.2039206,0.1234436,103.53831,34.50376,-41.492462,47.07,2,0
52999,15.48,2.1957044,0.1388534,0.1126158,110.636549,31.474615,-35.061803,22.16,2,0
53001,15.77,2.2888342,0.0995673,0.1144147,103.951831,34.34588,-36.847185,2.67,2,4
53005,15.52,2.2882708,0.1328803,0.090268,103.989945,35.074001,-38.159401,2.94,2,2076
53007,15.66,2.1702108,0.1346395,0.0505015,112.591146,31.92772,-34.404132,22.12,2,0
53009,14.36,2.2745784,0.0754,0.110113,104.930938,33.973764,-35.814304,3.05,2,0
53011,14.77,2.2154195,0.1487637,0.1291115,109.161665,31.598231,-35.831174,33.69,2,0
53015,15.89,2.2692814,0.0939674,0.0801547,105.298448,34.606763,-36.306502,1.82,2,0
53016,15.19,2.2924621,0.0955745,0.1176762,103.705144,34.353557,-36.833447,1.34,2,0
53017,15.43,2.2067754,0.1504636,0.0728541,109.804712,32.734134,-36.049572,26.77,2,0
